법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,6**,석사길5번길,다가구,41.49,-,2021-03-18,-,-,"6,500",0,-,-,
석사동,6**,석사길5번길,다가구,41.49,-,2021-03-18,-,-,"6,500",0,-,-,
석사동,6**,석사길5번길,단독,40.0,-,2021-03-15,-,-,300,25,-,-,
석사동,8**,새롬공원길4번길,다가구,48.0,-,2021-03-04,-,-,"8,500",0,-,-,
후평동,1**,만천로195번길,다가구,55.32,신규,2022-01-29,22.02-24.02,-,"14,000",0,-,-,
후평동,6**,성심로47번길,단독,50.0,신규,2022-01-28,22.02-24.02,-,800,55,-,-,
후평동,2**,공단로70번길,다가구,50.0,신규,2022-01-27,22.02-24.02,-,"9,500",0,-,-,
후평동,4**,춘천로282번길,다가구,50.0,갱신,2022-01-26,22.01-24.01,-,"8,500",0,"8,000",0,
후평동,4**,,다가구,50.0,-,2022-01-26,-,-,"9,000",0,-,-,
후평동,7**,만천로199번길,단독,40.26,-,2022-01-25,-,-,"9,000",0,-,-,
후평동,6**,춘천로,단독,45.0,-,2022-01-25,-,-,"7,000",0,-,-,
후평동,7**,춘천로,다가구,45.0,신규,2022-01-24,22.02-24.02,-,500,60,-,-,
후평동,7**,만천로199번길,단독,48.0,신규,2022-01-23,22.02-24.02,-,"8,000",0,-,-,
후평동,8**,세실로192번길,다가구,33.0,신규,2022-01-22,-,-,300,37,-,-,
후평동,7**,삭주로128번길,단독,30.42,-,2022-01-21,-,-,"5,000",0,-,-,
후평동,5**,후석로441번길,단독,45.36,신규,2022-01-17,22.02-24.02,-,"10,000",0,-,-,
후평동,7**,보안길,단독,33.0,신규,2022-01-17,22.01-24.01,-,100,35,-,-,
후평동,8**,삭주로108번길,다가구,32.7,신규,2022-01-17,22.01-23.01,-,300,40,-,-,
후평동,7**,만천로199번길,단독,45.0,신규,2022-01-17,22.02-24.02,-,"10,000",0,-,-,
후평동,8**,복골길,다가구,40.0,신규,2022-01-16,22.01-23.01,-,"1,000",60,-,-,
후평동,8**,삭주로108번길,다가구,32.7,신규,2022-01-14,22.01-23.01,-,300,40,-,-,
후평동,8**,복골길,다가구,50.0,신규,2022-01-13,22.01-23.01,-,"1,000",60,-,-,
후평동,8**,복골길6번길,단독,57.6,신규,2022-01-13,22.01-24.01,-,480,35,-,-,
후평동,6**,효평길,다가구,48.0,신규,2022-01-13,22.01-24.01,-,300,45,-,-,
후평동,7**,삭주로128번길,다가구,32.8,-,2022-01-12,-,-,"4,000",0,-,-,
후평동,7**,만천로199번길,단독,33.0,신규,2022-01-12,22.01-24.01,-,300,39,-,-,
후평동,7**,삭주로128번길,다가구,32.8,-,2022-01-11,-,-,"4,000",0,-,-,
후평동,7**,만천로227번길,단독,42.7,-,2022-01-11,-,-,"4,000",0,-,-,
후평동,8**,복골길,다가구,45.0,신규,2022-01-11,22.02-23.02,-,"1,000",60,-,-,
후평동,7**,,단독,33.0,-,2022-01-10,-,-,"6,000",0,-,-,
후평동,7**,만천로199번길,단독,48.0,신규,2022-01-09,22.02-24.02,-,"8,000",0,-,-,
