법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,1*,백령로165번길,다가구,50,-,12/30,-,-,"7,000",0,-,-,
효자동,1**,둥지길47번길,다가구,84.59,-,12/30,-,-,"3,000",0,-,-,
효자동,2*,백령로,단독,11,-,12/29,-,-,"3,000",0,-,-,
효자동,7**,백령로,단독,27.98,-,12/29,-,-,"3,500",0,-,-,
효자동,1**,백령로83번길,단독,124.29,-,12/29,-,-,"3,300",0,-,-,
효자동,3**,공지로264번길,다가구,79.73,-,12/28,-,-,"2,000",0,-,-,
효자동,3**,공지로242번길,단독,58.86,-,12/28,-,-,"6,000",0,-,-,
효자동,4*,성심로,다가구,21.58,-,12/27,-,-,"2,800",0,-,-,
효자동,6**,춘천로204번길,단독,66.31,-,12/27,-,-,500,50,-,-,
효자동,6**,서부대성로227번길,단독,35,-,12/26,-,-,"2,500",0,-,-,
효자동,1**,둥지길,다가구,29,-,12/26,-,-,"1,600",0,-,-,
효자동,1**,효제길,단독,51.29,-,12/25,-,-,"4,500",0,-,-,
효자동,5**,공지로347번길,단독,72.64,-,12/24,-,-,200,20,-,-,
효자동,7**,성심로47번길,다가구,23.1,-,12/24,-,-,"3,000",0,-,-,
효자동,1*,백령로,단독,108,-,12/24,-,-,300,35,-,-,
효자동,6**,춘천로204번길,다가구,39.6,-,12/23,-,-,"4,500",0,-,-,
효자동,1**,돌담길,단독,65,-,12/23,-,-,"3,500",0,-,-,
효자동,6**,효자로150번길,다가구,87.94,-,12/21,-,-,100,20,-,-,
효자동,1**,두하길25번길,다가구,33,-,12/20,-,-,"2,500",0,-,-,
효자동,1**,백령로25번길,다가구,106.38,-,12/20,-,-,"8,500",0,-,-,
효자동,1**,성심로66번길,다가구,70,-,12/20,-,-,700,30,-,-,
효자동,1*,백령로165번길,다가구,43,-,12/16,-,-,"5,000",0,-,-,
효자동,7**,효평길,다가구,30,-,12/15,-,-,300,38,-,-,
효자동,4**,효자문길,단독,40,-,12/13,-,-,150,25,-,-,
효자동,6**,남춘로51번길,단독,31.92,-,12/13,-,-,"2,500",0,-,-,
효자동,7**,성심로,단독,42.65,-,12/12,-,-,"3,500",0,-,-,
효자동,4**,명주길,단독,33,-,12/11,-,-,"3,500",0,-,-,
효자동,1*,으뜸길4번길,다가구,45,-,12/10,-,-,"1,500",35,-,-,
효자동,3**,효석로9번길,다가구,15,-,12/09,-,-,"4,000",0,-,-,
효자동,1**,효평길20번길,단독,56.44,-,12/08,-,-,"2,500",10,-,-,
효자동,1**,효제길,다가구,93.49,-,12/06,-,-,"4,000",0,-,-,
효자동,6**,두하길,다가구,36.3,-,12/05,-,-,"4,000",0,-,-,
효자동,4**,명주샛길,단독,81.6,-,12/04,-,-,"1,000",40,-,-,
효자동,7**,공지로297번길,단독,49.68,-,12/03,-,-,100,20,-,-,
효자동,2**,,다가구,73.93,-,12/02,-,-,"4,500",0,-,-,
효자동,1**,법원뒷길,다가구,75.51,-,12/02,-,-,"6,500",0,-,-,
효자동,7**,효평길,다가구,30,-,12/01,-,-,"5,500",0,-,-,
