법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,8**,공원1길,다가구,42,-,07/29,-,-,"4,000",0,-,-,
퇴계동,9**,행촌로32번길,단독,26.44,-,07/29,-,-,"4,500",0,-,-,
퇴계동,9**,,다가구,25.92,-,07/28,-,-,"5,500",0,-,-,
퇴계동,1***,남춘천길5번길,단독,33,-,07/23,-,-,"6,500",0,-,-,
퇴계동,1***,,다가구,131.58,-,07/22,-,-,"20,000",0,-,-,
퇴계동,9**,행촌로32번길,단독,27,-,07/18,-,-,300,41,-,-,
퇴계동,1**,상마을1길,단독,29,-,07/18,-,-,"2,000",0,-,-,
퇴계동,8**,공원1길,다가구,42,-,07/15,-,-,"5,500",0,-,-,
퇴계동,9**,퇴계로145번길,단독,66,-,07/14,-,-,"5,000",0,-,-,
퇴계동,1***,남춘천길5번길,다가구,33,-,07/12,-,-,300,40,-,-,
퇴계동,4**,미나리길11번길,다가구,49.58,-,07/11,-,-,500,35,-,-,
