법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,6**,벌말길,다가구,122,-,11/28,-,-,"7,000",20,-,-,
석사동,9**,스무숲1길,다가구,25.14,-,11/28,-,-,"5,000",0,-,-,
석사동,9**,스무숲1길,다가구,25,-,11/27,-,-,50,27,-,-,
석사동,8**,새롬공원길9번길,단독,36.4,-,11/26,-,-,"4,500",0,-,-,
석사동,7**,우석로,다가구,24,-,11/26,-,-,"8,000",0,-,-,
석사동,8**,새롬공원길4번길,다가구,33,-,11/23,-,-,300,30,-,-,
석사동,8**,새롬공원길,다가구,47,-,11/21,-,-,"8,000",0,-,-,
석사동,8**,새롬공원길,다가구,33,-,11/21,-,-,"3,000",0,-,-,
석사동,7**,우석로63번길,다가구,70,-,11/21,-,-,"8,000",0,-,-,
석사동,9**,스무숲1길,다가구,28,-,11/19,-,-,"4,000",0,-,-,
석사동,7**,우석로63번길,다가구,40,-,11/19,-,-,"3,500",0,-,-,
석사동,3**,외솔길,단독,26.4,-,11/19,-,-,300,30,-,-,
석사동,9**,스무숲3길,다가구,24,-,11/18,-,-,"3,000",0,-,-,
석사동,3**,공지로,다가구,27,-,11/15,-,-,"3,500",0,-,-,
석사동,9**,안마산로,다가구,48,-,11/14,-,-,"6,000",0,-,-,
석사동,7**,우석로85번길,단독,95.44,-,11/14,-,-,"9,000",0,-,-,
석사동,6**,석사길5번길,단독,89.28,-,11/13,-,-,"8,500",0,-,-,
석사동,9**,,다가구,42,-,11/12,-,-,"7,000",0,-,-,
석사동,9**,스무숲1길,다가구,119.48,-,11/12,-,-,"1,000",50,-,-,
석사동,7**,벌말길47번길,다가구,59,-,11/12,-,-,"6,000",0,-,-,
석사동,6**,후석로45번길,다가구,59,-,11/11,-,-,"5,000",0,-,-,
석사동,8**,새롬공원길5번길,다가구,16,-,11/11,-,-,200,26,-,-,
석사동,6**,벌말길47번길,다가구,60,-,11/11,-,-,"3,500",0,-,-,
석사동,9**,스무숲2길,다가구,27,-,11/09,-,-,"4,500",0,-,-,
석사동,6**,후석로45번길,다가구,78.68,-,11/07,-,-,500,45,-,-,
석사동,7**,우석로38번길,다가구,112.2,-,11/04,-,-,"1,000",45,-,-,
석사동,9**,스무숲1길,단독,70.23,-,11/02,-,-,"9,200",0,-,-,
석사동,9**,스무숲1길,다가구,33,-,11/02,-,-,"3,500",0,-,-,
