법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,7**,성심로47번길,다가구,50,-,08/31,-,-,"6,000",0,-,-,
후평동,1**,공단로70번길,다가구,55,신규,08/29,-,-,500,55,-,-,
후평동,1**,공단로70번길,다가구,45,갱신,08/29,22.11-24.11,-,"10,000",0,"9,000",0,
후평동,7**,만천로195번길,다가구,28,신규,08/29,22.09-23.09,-,300,38,-,-,
후평동,7**,보안길,단독,52.68,신규,08/29,22.09-24.09,-,500,35,-,-,
후평동,4**,춘천로282번길,단독,33.25,신규,08/28,22.09-23.09,-,300,40,-,-,
후평동,6**,춘천로,다가구,28,신규,08/27,22.09-24.09,-,"9,000",0,-,-,
후평동,6**,성심로47번길,단독,25,신규,08/27,22.08-23.08,-,300,38,-,-,
후평동,3**,춘천로295번길,단독,50,-,08/27,-,-,500,30,-,-,
후평동,4**,으뜸길4번길,단독,30,신규,08/26,22.08-23.08,-,300,40,-,-,
후평동,2**,뒷들길,다가구,27,-,08/25,-,-,300,30,-,-,
후평동,5**,후석로441번길,다가구,84.6,갱신,08/25,22.09-24.09,-,"12,000",0,"10,000",0,
후평동,7**,만천로245번길,다가구,57.96,신규,08/25,22.08-23.08,-,300,45,-,-,
후평동,7**,만천로215번길,단독,82.92,-,08/24,22.09-24.09,-,"16,000",0,-,-,
후평동,6**,효평길,다가구,50,신규,08/24,22.09-23.09,-,500,50,-,-,
후평동,7**,후석로390번길,다가구,28,신규,08/24,22.09-23.09,-,300,40,-,-,
후평동,6**,춘천로295번길,단독,33,갱신,08/24,22.08-24.08,사용,"7,350",0,"7,000",0,
후평동,8**,부평길8번길,단독,49.72,신규,08/23,22.09-24.09,-,500,35,-,-,
후평동,6**,,다가구,26,-,08/23,-,-,"9,000",0,-,-,
후평동,4**,춘천로282번길,단독,62,신규,08/23,22.09-24.09,-,"4,000",40,-,-,
후평동,8**,복골길14번길,단독,68.22,-,08/22,-,-,500,40,-,-,
후평동,8**,복골길14번길,단독,68.22,신규,08/22,22.10-24.10,-,500,40,-,-,
후평동,8**,복골길,다가구,56,신규,08/22,22.10-24.09,-,"12,000",0,-,-,
후평동,8**,후석로379번길,단독,62,신규,08/22,22.09-24.09,-,"1,000",40,-,-,
후평동,7**,만천로227번길,다가구,33,-,08/22,-,-,200,25,-,-,
후평동,7**,후석로379번길,단독,50,신규,08/20,22.08-23.08,-,500,52,-,-,
후평동,7**,후석로370번길,단독,35.8,-,08/20,-,-,300,29,-,-,
후평동,8**,,단독,80,-,08/19,-,-,"5,000",0,-,-,
후평동,1**,만천로195번길,단독,52.23,신규,08/19,22.09-24.09,-,500,40,-,-,
후평동,7**,후석로390번길,단독,33,신규,08/18,22.08-23.08,-,300,40,-,-,
후평동,8**,세실로208번길,단독,75,-,08/18,-,-,"3,000",30,-,-,
후평동,7**,부안길6번길,단독,63.13,신규,08/17,22.10-24.10,-,500,38,-,-,
후평동,8**,세실로208번길,단독,61.56,신규,08/16,22.09-24.09,-,"7,000",0,-,-,
후평동,7**,만천로195번길,다가구,28,신규,08/16,22.08-23.08,-,300,38,-,-,
후평동,7**,,다가구,49,신규,08/16,22.08-24.08,-,500,35,-,-,
후평동,2**,공단로,다가구,29,갱신,08/15,22.09-24.09,-,"7,000",0,"7,000",0,
후평동,8**,세실로208번길,단독,52,-,08/15,-,-,300,30,-,-,
후평동,7**,후석로393번길,다가구,31.32,신규,08/15,22.08-23.08,-,300,38,-,-,
후평동,9*,후석로344번길,다가구,25.35,신규,08/14,22.08-23.08,-,300,35,-,-,
후평동,7*,보안길,단독,64.61,신규,08/12,22.08-24.08,-,500,40,-,-,
후평동,7**,만천로215번길,단독,82.92,신규,08/12,22.08-24.08,-,"16,000",0,-,-,
후평동,8**,후석로258번길,단독,87.12,신규,08/12,22.09-24.09,-,"1,000",55,-,-,
후평동,8**,보안길,단독,49.68,-,08/11,-,-,"6,000",0,-,-,
후평동,6*,서부대성로239번길,단독,63.32,신규,08/11,22.09-24.09,-,300,35,-,-,
후평동,7**,만천로239번길,단독,47,신규,08/09,22.08-23.10,-,500,60,-,-,
후평동,5**,춘천로281번길,단독,68.98,신규,08/09,22.08-24.08,-,"7,500",0,-,-,
후평동,4**,춘천로282번길,다가구,35,갱신,08/08,22.09-24.09,-,"7,000",0,"6,500",0,
후평동,2**,춘천로407번길,다가구,34.05,-,08/08,22.08-23.05,-,"8,500",0,-,-,
후평동,8**,삭주로94번길,단독,45.09,신규,08/08,22.08-24.08,-,500,38,-,-,
