법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,9**,스무숲3길,단독,21,신규,06/29,24.06-25.06,-,300,35,-,-,
석사동,3**,후석로66번길,단독,33,신규,06/28,24.06-25.06,-,200,30,-,-,
석사동,8**,새롬공원길9번길,다가구,25.28,갱신,06/27,24.07-26.07,-,"3,300",0,"3,000",0,
석사동,7**,우석로79번길,단독,21,신규,06/27,24.07-25.07,-,200,30,-,-,
석사동,7**,우석로79번길,단독,30,신규,06/26,24.06-25.06,-,200,28,-,-,
석사동,7**,우석로67번길,단독,51.37,신규,06/26,24.08-26.08,-,500,42,-,-,
석사동,6**,벌말길,단독,66,신규,06/26,24.07-26.07,-,500,40,-,-,
석사동,9**,스무숲4길,다가구,30,신규,06/25,24.06-26.06,-,200,30,-,-,
석사동,7**,우석로85번길,단독,33,신규,06/24,24.07-25.06,-,300,35,-,-,
석사동,1**,스무숲2길,다가구,58.14,신규,06/23,24.06-26.06,-,500,65,-,-,
석사동,9**,스무숲3길,다가구,30,신규,06/22,24.07-25.06,-,300,45,-,-,
석사동,1**,안마산로,단독,84.75,신규,06/20,24.08-26.08,-,"5,100",130,-,-,
석사동,9**,스무숲1길,단독,30,신규,06/19,24.06-25.06,-,300,30,-,-,
석사동,7**,벌말길47번길,다가구,50,신규,06/19,24.06-26.06,-,"11,000",0,-,-,
석사동,6**,효석로89번길,다가구,37,신규,06/18,24.06-26.06,-,200,28,-,-,
석사동,9**,스무숲1길,다가구,21,신규,06/17,24.07-25.07,-,300,35,-,-,
석사동,7**,애막골길3번길,다가구,26.4,신규,06/16,24.07-26.01,-,"3,500",0,-,-,
석사동,7**,애막골길7번길,다가구,27.12,신규,06/14,24.06-25.01,-,200,30,-,-,
석사동,9**,스무숲3길,다가구,33,신규,06/14,24.06-26.06,-,300,41,-,-,
석사동,6**,효석로135번길,다가구,25,신규,06/13,24.07-25.07,-,200,25,-,-,
석사동,6**,효석로135번길,단독,30,신규,06/12,24.06-26.06,-,100,25,-,-,
석사동,6**,벌말길,다가구,25,신규,06/11,24.06-25.06,-,200,33,-,-,
석사동,7**,애막골길20번길,다가구,50,신규,06/10,24.06-26.01,-,500,45,-,-,
석사동,6**,벌말길,단독,35,신규,06/10,24.06-26.06,-,200,30,-,-,
석사동,8**,새롬공원길9번길,다가구,31.38,신규,06/09,24.06-26.06,-,"4,000",0,-,-,
석사동,7**,벌말길47번길,다가구,40,신규,06/08,24.06-25.06,-,"1,000",50,-,-,
석사동,9**,스무숲1길,다가구,28,신규,06/08,24.07-26.07,-,300,37,-,-,
석사동,9**,스무숲1길,다가구,27,신규,06/07,24.06-25.06,-,200,33,-,-,
석사동,9**,스무숲3길,다가구,142.42,신규,06/07,24.07-26.07,-,"3,000",100,-,-,
석사동,7**,우석로,다가구,25,신규,06/07,24.06-25.06,-,200,29,-,-,
석사동,8**,새롬공원길4번길,다가구,66,신규,06/07,24.06-26.06,-,"8,000",0,-,-,
석사동,7**,우석로85번길,단독,208.1,신규,06/07,24.06-26.06,-,"5,500",5,-,-,
석사동,6**,효석로,단독,48,신규,06/05,24.06-26.06,-,"4,000",30,-,-,
석사동,6**,후석로46번길,단독,20,신규,06/04,24.06-26.06,-,200,25,-,-,
석사동,7**,우석로38번길,다가구,27.71,신규,06/04,24.06-25.06,-,300,33,-,-,
석사동,7**,벌말길47번길,단독,27,신규,06/03,24.06-25.03,-,"3,000",0,-,-,
석사동,9**,스무숲1길,다가구,45,신규,06/03,24.06-25.06,-,500,41,-,-,
석사동,6**,벌말길,단독,25,신규,06/03,24.06-26.06,-,100,20,-,-,
석사동,7**,우석로,단독,59.5,신규,06/03,24.06-26.06,-,"12,000",0,-,-,
석사동,6**,석사길5번길,다가구,56.1,신규,06/01,24.06-26.06,-,100,18,-,-,
석사동,3**,공지로,다가구,26,신규,06/01,24.06-26.05,-,"5,000",0,-,-,
석사동,6**,석사길5번길,다가구,23,신규,06/01,24.06-24.12,-,200,27,-,-,
