매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
아파트,주공5단지 502동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,4/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공5단지 502동,강원도 춘천시 후평동 481,전세1억,49A/39m²,4/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 후평동 583-6,"월세1,000/65",-/49m²,1/3층,남향,"2년이내, 1층, 화장실한개",매경부동산 제공,이건부동산중개사무소,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,부동산뱅크 제공,골든부동산공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 후평동 498-106,"전세4,900",42/36m²,2/2층,남향,"25년이상, 융자금없는, 화장실한개",피터팬의 좋은방구하기 제공,,
아파트,주공7단지 712동,강원도 춘천시 후평동 477,월세500/35,49B/39m²,1/5층,남향,,매경부동산 제공,이건부동산중개사무소,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,부동산뱅크 제공,이화공인중개사사무소,
아파트,후평주공4단지 416동,강원도 춘천시 후평동 808-1,"전세8,500",54A/49m²,5/5층,남향,,부동산써브 제공,태양공인중개사사무소,
아파트,후평주공4단지 402동,강원도 춘천시 후평동 808-1,"전세7,000",47/42m²,1/5층,남향,,매경부동산 제공,코아루웰라움공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 후평동 583-6,"전세1억 1,000",-/49m²,2/3층,남향,"2년이내, 화장실한개, 방두개",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 후평동 675-22,월세200/30,-/26m²,2/3층,남향,"25년이내, 복층, 화장실한개",부동산뱅크 제공,유진공인중개사사무소,
아파트,주공5단지 509동,강원도 춘천시 후평동 481,월세500/40,57/47m²,3/5층,남동향,,부동산써브 제공,,
아파트,주공5단지 505동,강원도 춘천시 후평동 481,"전세7,000",49A/39m²,4/5층,남동향,,부동산써브 제공,,
아파트,후평주공4단지 427동,강원도 춘천시 후평동 808-1,월세500/40,52A/47m²,3/5층,남향,,부동산써브 제공,,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,한경부동산 제공,금수강산공인중개사사무소,
아파트,후평봉의 6동,강원도 춘천시 후평동 542-3,월세300/30,41B/41m²,3/5층,동향,,매경부동산 제공,이건부동산중개사무소,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공5단지 505동,강원도 춘천시 후평동 481,월세300/30,49A/39m²,4/5층,남동향,,부동산써브 제공,,
아파트,주공5단지 511동,강원도 춘천시 후평동 481,전세1억,49B/39m²,5/5층,남동향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남향,,매경부동산 제공,,
원룸,일반원룸,강원도 춘천시 후평동 711-55,월세300/32,93/39m²,1/3층,남서향,"25년이상, 1층, 화장실한개",부동산써브 제공,부동산893공인중개사사무소,
빌라,빌라,강원도 춘천시 후평동 711-44,"전세4,200",32/24m²,2/5층,서향,"15년이내, 화장실한개, 소형평수, 방한개",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 후평동 723,"전세7,000",-/27m²,2/4층,서향,"10년이내, 세대분리, 화장실한개",매경부동산 제공,이건부동산중개사무소,
아파트,동산 102동,강원도 춘천시 후평동 575-4,"전세5,900",31/31m²,5/10층,동향,,부동산써브 제공,행복한부동산공인중개,
아파트,주공5단지 501동,강원도 춘천시 후평동 481,월세500/45,49A/39m²,4/5층,남동향,,부동산써브 제공,,
원룸,일반원룸,강원도 춘천시 후평동 498-149,월세300/40,30/30m²,3/4층,서향,"10년이내, 세대분리, 소형평수",부동산뱅크 제공,이화공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 754-17,"전세8,000",212/21m²,3/4층,북서향,"4년이내, 대형평수, 방한개",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",-/45m²,중/4층,남서향,"10년이내, 화장실한개, 방두개",매경부동산 제공,이건부동산중개사무소,
아파트,후평주공4단지 416동,강원도 춘천시 후평동 808-1,월세500/35,54A/49m²,5/5층,남향,,부동산써브 제공,태양공인중개사사무소,
아파트,후평주공4단지 403동,강원도 춘천시 후평동 808-1,"전세8,500",54A/49m²,5/5층,남향,,부동산써브 제공,태양공인중개사사무소,
