매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
아파트,동보 102동,강원도 춘천시 효자동 821,"전세5,500",47/28m²,6/12층,동향,,매경부동산 제공,원탑공인중개사사무소,
아파트,동보 102동,강원도 춘천시 효자동 821,월세300/33,47/28m²,11/12층,남동향,,부동산뱅크 제공,천승주부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 754-5,월세300/37,30/30m²,3/4층,서향,"10년이내, 융자금없는, 세대분리",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 효자동 600,월세200/30,-/22m²,3/3층,남서향,"25년이상, 테라스, 세대분리",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 효자동 687-6,월세300/40,-/45m²,2/3층,남서향,"25년이상, 방두개, 화장실한개, 중층",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 효자동 608-14,월세100/35,19/19m²,2/3층,남향,"25년이내, 마당, 화장실한개",피터팬의 좋은방구하기 제공,,
원룸,일반원룸,강원도 춘천시 효자동 18-26,월세200/28,25/25m²,1/3층,남동향,"25년이내, 1층, 소형평수",부동산써브 제공,왕공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 18-58,월세200/26,25/25m²,1/3층,남서향,"25년이내, 1층, 소형평수",부동산써브 제공,왕공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 758-9,월세600/43,34/34m²,3/4층,남동향,"10년이내, 소형평수, 방한개",부동산써브 제공,왕공인중개사사무소,
원룸,일반원룸,강원도 춘천시 효자동 153-77,월세300/30,-/24m²,3/3층,남서향,"10년이내, 융자금적은, 세대분리",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 효자동 175-24,"전세5,000",-/20m²,1/3층,서향,"10년이내, 융자금없는, 1층",부동산뱅크 제공,유진공인중개사사무소,
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세4,000/20",39A/23m²,3/15층,서향,,부동산써브 제공,,
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세3,000/30",39B/23m²,11/15층,남동향,,부동산써브 제공,,
아파트,동보 102동,강원도 춘천시 효자동 821,월세300/40,47/28m²,중/12층,동향,,부동산써브 제공,행복한부동산공인중개,
원룸,일반원룸,강원도 춘천시 효자동 772-11,월세500/48,26/26m²,1/3층,북서향,"25년이상, 1층, 화장실한개",부동산뱅크 제공,강원부동산공인중개사사무소,
