매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그
원룸,일반원룸,강원도 춘천시 효자동 608-14,월세100/35,19/19m²,2/3층,남향,"25년이내, 마당, 화장실한개"
아파트,동보 102동,강원도 춘천시 효자동 821,"전세5,000",47/28m²,4/12층,동향,
원룸,일반원룸,강원도 춘천시 효자동 126-288,"전세5,000",26/26m²,B1/3층,북서향,"25년이내, 소형평수, 화장실한개"
원룸,일반원룸,강원도 춘천시 효자동 322-4,월세50/30,-/27m²,중/4층,남서향,"25년이내, 융자금적은, 방한개"
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/35,47/28m²,3/13층,동향,
단독/다가구,다가구,강원도 춘천시 효자동 397-15,월세500/40,-/33m²,2/4층,남동향,"10년이내, 방한개, 화장실한개, 중층"
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,월세500/50,39B/23m²,15/15층,남서향,
아파트,동보 102동,강원도 춘천시 효자동 821,월세300/40,47/28m²,9/12층,서향,
원룸,일반원룸,강원도 춘천시 효자동 174-23,월세100/27,-/23m²,2/2층,남동향,"25년이상, 마당, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 174-27,월세100/30,20/20m²,2/3층,남서향,"25년이상, 융자금없는, 화장실한개"
원룸,일반원룸,강원도 춘천시 효자동 325-21,월세200/29,20/16m²,2/3층,남향,"25년이상, 융자금없는, 소형평수"
원룸,일반원룸,강원도 춘천시 효자동 623-20,"전세4,000",-/18m²,1/4층,남서향,"10년이내, 융자금없는, 1층"
단독/다가구,단독,강원도 춘천시 효자동,월세400/40,48/48m²,2/2층,남동향,"25년이상, 융자금없는, 소형평수, 방두개"
원룸,일반원룸,강원도 춘천시 효자동 750-2,월세200/40,50/50m²,2/4층,남서향,"25년이내, 융자금적은, 화장실한개"
오피스텔,메가씨티 1동,강원도 춘천시 효자동 654-9,월세500/42,90A/46m²,6/8층,남동향,
원룸,일반원룸,강원도 춘천시 효자동 767-23,월세300/35,23/23m²,2/3층,동향,"25년이상, 융자금없는, 소형평수"
아파트,동보 102동,강원도 춘천시 효자동 821,"전세5,200",47/28m²,6/12층,동향,
아파트,동보 103동,강원도 춘천시 효자동 821,월세200/35,47/28m²,10/13층,남동향,
원룸,일반원룸,강원도 춘천시 효자동 687-9,"전세4,500",-/30m²,2/3층,남동향,"25년이내, 화장실한개, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 600,월세200/30,-/22m²,3/3층,남서향,"25년이상, 테라스, 세대분리"
원룸,일반원룸,강원도 춘천시 효자동 179-41,"전세4,000",23/23m²,B1/4층,북서향,"25년이내, 융자금없는, 화장실한개, 소형평수"
원룸,일반원룸,강원도 춘천시 효자동 178-30,"전세4,500",-/32m²,4/4층,남서향,"15년이내, 화장실한개, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 18-26,월세200/28,25/25m²,1/3층,남동향,"25년이내, 1층, 소형평수"
원룸,일반원룸,강원도 춘천시 효자동 18-58,월세200/26,25/25m²,1/3층,남서향,"25년이내, 1층, 소형평수"
원룸,일반원룸,강원도 춘천시 효자동 758-9,월세600/43,34/34m²,3/4층,남동향,"10년이내, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 754-16,월세300/30,-/27m²,2/3층,남향,"25년이내, 화장실한개, 방한개"
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세4,000/20",39A/23m²,3/15층,서향,
원룸,일반원룸,강원도 춘천시 효자동 175-24,"전세5,000",-/20m²,1/3층,서향,"10년이내, 융자금없는, 1층"
원룸,일반원룸,강원도 춘천시 효자동 603-6,월세300/47,42/30m²,2/4층,남서향,"15년이내, 소형평수, 방한개, 화장실한개"
단독/다가구,다가구,강원도 춘천시 효자동 172-106,월세300/45,30/26m²,3/3층,남동향,"10년이내, 세대분리, 소형평수, 방한개"
단독/다가구,다가구,강원도 춘천시 효자동 333-65,"전세7,000",26/25m²,3/4층,동향,"10년이내, 융자금없는, 화장실한개, 소형평수"
원룸,일반원룸,강원도 춘천시 효자동 175-54,"월세3,000/15",20/18m²,중/3층,남동향,"10년이내, 소형평수, 화장실한개, 방한개"
단독/다가구,단독,강원도 춘천시 효자동,"전세7,500",99m²,-/-층,남동향,"25년이상, 소형평수, 방두개, 화장실한개"
원룸,일반원룸,강원도 춘천시 효자동 705-15,"월세1,000/55",50/50m²,3/5층,남동향,"15년이내, 화장실한개, 소형평수, 방두개"
원룸,일반원룸,강원도 춘천시 효자동 758-20,월세50/15,17/17m²,1/2층,남동향,"25년이상, 1층, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 322-4,월세50/30,27/27m²,2/4층,동향,"25년이내, 소형평수, 방한개, 화장실한개"
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/30,47/28m²,12/13층,남동향,
단독/다가구,다가구,강원도 춘천시 효자동 40-6,월세500/50,43/43m²,2/4층,남서향,"15년이내, 소형평수, 방두개, 화장실한개"
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/30,47/28m²,2/13층,남동향,
아파트,동보 101동,강원도 춘천시 효자동 821,월세300/40,61/37m²,1/13층,남서향,
원룸,일반원룸,강원도 춘천시 효자동 179-24,월세300/40,3/30m²,1/3층,남향,"2년이내, 1층, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 650-2,월세300/40,33/30m²,1/4층,남동향,"10년이내, 1층, 세대분리, 화장실한개"
원룸,일반원룸,강원도 춘천시 효자동 776-7,월세200/30,22/20m²,4/4층,동향,"25년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 162-12,"전세5,000",-/20m²,2/3층,남동향,"10년이내, 융자금적은, 세대분리, 화장실한개"
원룸,일반원룸,강원도 춘천시 효자동 313-2,월세100/30,20/20m²,1/3층,남향,"25년이내, 융자금적은, 1층, 세대분리"
단독/다가구,다가구,강원도 춘천시 효자동 603-5,월세100/32,17/15m²,2/5층,북동향,"25년이상, 소형평수, 방한개, 화장실한개"
원룸,일반원룸,강원도 춘천시 효자동 758-9,월세500/48,35/30m²,3/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개"
