매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
원룸,일반원룸,강원도 춘천시 효자동 608-14,월세100/35,19/19m²,2/3층,남향,"25년이내, 마당, 화장실한개",37.8749051,127.7388227
원룸,일반원룸,강원도 춘천시 효자동 687-6,월세300/40,-/45m²,2/3층,남서향,"25년이상, 방두개, 화장실한개, 중층",37.86939170000001,127.7269638
원룸,일반원룸,강원도 춘천시 효자동 153-77,월세300/30,-/24m²,3/3층,남서향,"10년이내, 융자금적은, 세대분리",37.8714433,127.7340292
아파트,동보 102동,강원도 춘천시 효자동 821,월세400/30,47/28m²,12/12층,남서향,,37.8632773,127.7408687
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세3,000/30",39B/23m²,11/15층,남동향,,37.8746442,127.7350463
원룸,일반원룸,강원도 춘천시 효자동 772-11,월세500/48,26/26m²,1/3층,북서향,"25년이상, 1층, 화장실한개",37.8723851,127.7392216
단독/다가구,단독,강원도 춘천시 효자동 712-23,"전세2억 6,000",284/36m²,1/-층,남서향,"25년이상, 마당, 방두개",37.8655532,127.7316518
원룸,일반원룸,강원도 춘천시 효자동 175-25,월세200/30,23/22m²,2/3층,동향,"25년이내, 화장실한개, 소형평수, 방한개",37.8674315,127.7353187
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/40,47/28m²,13/13층,남서향,,37.8632773,127.7408687
단독/다가구,다가구,강원도 춘천시 효자동 397-15,월세500/40,-/33m²,2/4층,남동향,"10년이내, 방두개, 화장실한개, 중층",37.8679747,127.7330797
원룸,일반원룸,강원도 춘천시 효자동 755-25,월세300/45,75/37m²,2/4층,동향,"10년이내, 화장실한개, 방한개, 중층",37.8804316,127.7412814
아파트,동보 103동,강원도 춘천시 효자동 821,월세200/35,47/28m²,10/13층,남동향,,37.8632773,127.7408687
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,월세500/50,39B/23m²,15/15층,남서향,,37.8746442,127.7350463
원룸,일반원룸,강원도 춘천시 효자동 325-21,월세200/27,20/16m²,2/3층,남향,"25년이상, 융자금없는, 소형평수",37.8646964,127.7363403
원룸,일반원룸,강원도 춘천시 효자동 623-20,"전세4,000",-/18m²,1/4층,남서향,"10년이내, 융자금없는, 1층",37.8755438,127.7423549
원룸,일반원룸,강원도 춘천시 효자동 743-5,월세300/32,-/30m²,B1/3층,북서향,"25년이내, 화장실한개, 방한개",37.8772829,127.7383241
원룸,일반원룸,강원도 춘천시 효자동 44-27,"전세6,500",-/30m²,4/4층,남동향,"10년이내, 화장실한개, 방한개, 고층",37.8769729,127.741832
원룸,일반원룸,강원도 춘천시 효자동 767-23,월세200/20,23/23m²,B1/3층,동향,"25년이상, 융자금없는, 소형평수",37.8731083,127.7409896
원룸,일반원룸,강원도 춘천시 효자동 767-23,월세300/35,23/23m²,2/3층,동향,"25년이상, 융자금없는, 소형평수, 화장실한개",37.8731083,127.7409896
원룸,일반원룸,강원도 춘천시 효자동 600,월세200/30,-/20m²,3/3층,남서향,"25년이상, 테라스, 세대분리",37.8748188,127.7359226
원룸,일반원룸,강원도 춘천시 효자동 179-41,"전세4,000",23/23m²,B1/4층,북서향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8700856,127.7366975
원룸,일반원룸,강원도 춘천시 효자동 114-55,월세100/25,22/22m²,1/3층,남향,"25년이상, 융자금적은, 1층",37.8765191,127.738786
원룸,일반원룸,강원도 춘천시 효자동 178-30,"전세4,500",-/32m²,4/4층,남서향,"15년이내, 화장실한개, 방한개",37.8694213,127.7372961
원룸,일반원룸,강원도 춘천시 효자동 631-18,월세100/30,23/23m²,2/3층,북서향,"25년이상, 화장실한개, 소형평수",37.8732516,127.7456651
원룸,일반원룸,강원도 춘천시 효자동 754-5,월세300/42,30/30m²,3/4층,서향,"10년이내, 세대분리, 소형평수, 화장실한개",37.8799841,127.7404997
원룸,일반원룸,강원도 춘천시 효자동 397-15,월세500/50,40/35m²,2/4층,남동향,"10년이내, 소형평수, 화장실한개, 방한개",37.8679747,127.7330797
원룸,일반원룸,강원도 춘천시 효자동 758-20,월세50/15,17/17m²,1/2층,남동향,"25년이상, 1층, 소형평수, 방한개",37.87879969999999,127.7421884
원룸,일반원룸,강원도 춘천시 효자동 767-3,월세300/36,36/30m²,4/5층,남동향,"10년이내, 융자금없는, 세대분리, 소형평수",37.8729036,127.7414413
아파트,동보 101동,강원도 춘천시 효자동 821,월세500/50,61/37m²,5/13층,북서향,,37.8632773,127.7408687
원룸,일반원룸,강원도 춘천시 효자동 44-20,월세200/37,18/18m²,2/3층,남서향,"25년이상, 화장실한개, 소형평수, 방한개",37.8772645,127.7411154
원룸,일반원룸,강원도 춘천시 효자동 443-9,월세300/38,28/28m²,2/4층,북동향,"10년이내, 소형평수, 화장실한개, 방한개",37.8704445,127.7285871
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세1,000/50",35A/20m²,11/15층,남동향,,37.8746442,127.7350463
원룸,일반원룸,강원도 춘천시 효자동 18-28,"전세5,500",30/27m²,2/3층,남동향,"25년이내, 융자금없는, 소형평수, 화장실한개",37.8763572,127.7442797
원룸,일반원룸,강원도 춘천시 효자동 129-169,월세300/42,33/30m²,4/4층,남서향,"10년이내, 화장실한개, 소형평수, 방한개",37.8737575,127.737085
원룸,일반원룸,강원도 춘천시 효자동 751-16,월세300/30,27/24m²,3/4층,남서향,"15년이내, 화장실한개, 소형평수, 방한개",37.8791408,127.7402811
원룸,일반원룸,강원도 춘천시 효자동 129-1,월세300/40,25/25m²,2/4층,동향,"10년이내, 융자금없는, 소형평수, 화장실한개",37.8746893,127.7363164
원룸,일반원룸,강원도 춘천시 효자동 757-2,월세100/50,17/17m²,1/2층,동향,"25년이상, 1층, 소형평수, 방한개",37.87854129999999,127.7411618
원룸,일반원룸,강원도 춘천시 효자동 621-1,월세300/40,28/28m²,3/4층,동향,"10년이내, 소형평수, 화장실한개, 방한개",37.8756115,127.7420804
원룸,일반원룸,강원도 춘천시 효자동 590-50,월세300/45,28/28m²,2/4층,서향,"10년이내, 융자금적은, 소형평수, 화장실한개",37.8689793,127.7259663
단독/다가구,다가구,강원도 춘천시 효자동 176-11,"전세2,000",15/15m²,1/1층,서향,"25년이상, 1층, 소형평수, 방한개",37.8666334,127.7370479
단독/다가구,다가구,강원도 춘천시 효자동 600,"전세4,000",30/30m²,1/3층,남동향,"25년이상, 융자금적은, 1층, 소형평수",37.8748188,127.7359226
단독/다가구,다가구,강원도 춘천시 효자동 613-7,"전세4,000",20/20m²,1/3층,남서향,"25년이내, 1층, 소형평수, 방한개",37.875409,127.7400761
아파트,동보 103동,강원도 춘천시 효자동 821,월세200/35,47/28m²,10/13층,남동향,,37.8632773,127.7408687
단독/다가구,다가구,강원도 춘천시 효자동 650-2,"전세7,500",30/27m²,2/4층,남동향,"10년이내, 세대분리, 소형평수, 방한개",37.8745335,127.7355552
원룸,일반원룸,강원도 춘천시 효자동 176-11,"전세5,000",35/35m²,1/1층,남동향,"25년이상, 융자금적은, 1층, 세대분리",37.8666334,127.7370479
