매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그
아파트,퇴계주공1단지 108동,강원도 춘천시 퇴계동 967,"월세1,000/60",75/49m²,15/15층,남향,
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/52,58B/26m²,11/23층,남향,
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"전세1억 2,600",58B/26m²,14/23층,남향,
상가주택,상가주택,강원도 춘천시 퇴계동 913-9,월세200/25,33/33m²,저/3층,남향,"25년이상, 융자금없는, 화장실한개"
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/65,58B/26m²,11/23층,남서향,
아파트,퇴계주공1단지 106동,강원도 춘천시 퇴계동 967,"월세1,000/70",75/49m²,8/18층,남서향,
단독/다가구,다가구,강원도 춘천시 퇴계동 904-3,월세800/38,49/49m²,3/3층,남서향,"25년이상, 소형평수, 방두개"
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,단기임대500/60,48A/21m²,18/23층,서향,
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"월세1,000/85",109F/49m²,15/23층,남향,
원룸,일반원룸,강원도 춘천시 퇴계동 956-11,월세300/30,-/30m²,2/4층,남서향,"15년이내, 세대분리, 화장실한개"
단독/다가구,다가구,강원도 춘천시 퇴계동 901-7,월세100/30,108/27m²,2/4층,남동향,"15년이내, 화장실한개, 방한개, 중층"
단독/다가구,다가구,강원도 춘천시 퇴계동 840,월세500/60,-/50m²,2/4층,서향,"10년이내, 화장실한개, 방두개"
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/50,48A/21m²,13/23층,서향,
단독/다가구,다가구,강원도 춘천시 퇴계동 904-3,월세700/38,-/49m²,3/3층,남동향,"25년이상, 방두개, 화장실한개"
단독/다가구,다가구,강원도 춘천시 퇴계동 1143-12,"전세1억 3,000",55/50m²,2/4층,북동향,"4년이내, 소형평수, 방두개"
상가주택,상가주택,강원도 춘천시 퇴계동 1137-6,"전세1억 1,000",40/40m²,3/4층,남동향,"10년이내, 화장실한개, 소형평수, 방두개"
원룸,일반원룸,강원도 춘천시 퇴계동 971-4,월세300/30,30/30m²,3/4층,남향,"25년이내, 융자금없는, 화장실한개"
원룸,일반원룸,강원도 춘천시 퇴계동 1129,"월세1,000/30",36/33m²,2/3층,남향,"15년이내, 화장실한개, 소형평수, 방한개"
단독/다가구,다가구,강원도 춘천시 퇴계동 1143-12,"전세1억 2,000",48/48m²,2/4층,남서향,"4년이내, 화장실한개, 소형평수, 방두개"
원룸,일반원룸,강원도 춘천시 퇴계동 961-11,월세300/35,33/30m²,2/3층,남향,"15년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 952-6,월세200/30,30/27m²,3/4층,남서향,"25년이내, 융자금없는, 세대분리, 화장실한개"
원룸,일반원룸,강원도 춘천시 퇴계동 882-7,월세100/20,30/25m²,1/3층,서향,"25년이내, 융자금없는, 1층, 화장실한개"
단독/다가구,단독,강원도 춘천시 퇴계동,월세500/50,33/33m²,3/3층,동향,"25년이상, 융자금없는, 소형평수, 방두개"
단독/다가구,단독,강원도 춘천시 퇴계동,"전세2,700",24/24m²,2/3층,동향,"25년이상, 융자금없는, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 630-7,월세500/41,30/27m²,4/4층,남서향,"10년이내, 역세권, 세대분리, 소형평수"
원룸,일반원룸,강원도 춘천시 퇴계동 840,월세500/60,45/43m²,2/4층,남서향,"10년이내, 화장실한개, 소형평수, 방두개"
단독/다가구,단독,강원도 춘천시 퇴계동 897-3,"전세2,800",22/22m²,2/3층,남동향,"25년이상, 융자금없는, 소형평수, 방한개"
단독/다가구,단독,강원도 춘천시 퇴계동 897-3,월세500/50,28/28m²,3/3층,남동향,"25년이상, 융자금없는, 소형평수, 방두개"
단독/다가구,다가구,강원도 춘천시 퇴계동 840,월세500/60,47/45m²,2/4층,남서향,"10년이내, 융자금적은, 소형평수, 방두개"
단독/다가구,단독,강원도 춘천시 퇴계동,"전세7,500",191m²,-/-층,북동향,"15년이내, 융자금없는, 세대분리, 화장실한개"
원룸,일반원룸,강원도 춘천시 퇴계동 396-31,월세300/35,25/25m²,3/4층,북동향,"10년이내, 소형평수, 화장실한개, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 956-16,월세300/40,33/31m²,2/3층,북동향,"25년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 947-1,월세300/37,31/30m²,2/5층,남서향,"25년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 952-6,월세200/30,30/29m²,3/4층,북서향,"25년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 956-12,월세200/30,30/30m²,2/3층,남동향,"25년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 913,월세300/30,33/27m²,1/3층,남동향,"25년이상, 1층, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 1111,월세300/35,17/17m²,4/4층,남서향,"15년이내, 테라스, 화장실한개, 소형평수"
원룸,일반원룸,강원도 춘천시 퇴계동 947-1,월세300/37,33/30m²,2/4층,남서향,"25년이내, 테라스, 화장실한개, 소형평수"
빌라,기타,강원도 춘천시 퇴계동 956-16,월세300/42,27/27m²,2/3층,남동향,"25년이내, 융자금적은, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 1141-20,"전세7,500",36/30m²,1/3층,남향,"25년이내, 융자금없는, 1층, 소형평수"
원룸,일반원룸,강원도 춘천시 퇴계동 947-1,월세300/37,33/30m²,2/4층,남향,"25년이내, 화장실한개, 소형평수, 방한개"
단독/다가구,다가구,강원도 춘천시 퇴계동 899-5,월세300/30,52/45m²,2/2층,남서향,"25년이상, 역세권, 소형평수, 방두개"
원룸,일반원룸,강원도 춘천시 퇴계동 893-2,"전세7,500",24/24m²,3/4층,남향,"15년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 퇴계동 1141-20,월세500/45,24/20m²,1/3층,남향,"25년이내, 1층, 화장실한개, 소형평수"
원룸,일반원룸,강원도 춘천시 퇴계동 956-16,월세300/40,30/30m²,2/3층,남서향,"25년이내, 소형평수, 방한개, 화장실한개"
원룸,일반원룸,강원도 춘천시 퇴계동 971-4,월세300/30,33/30m²,3/4층,남향,"25년이내, 융자금없는, 화장실한개, 소형평수"
원룸,일반원룸,강원도 춘천시 퇴계동 975-3,월세300/33,30/30m²,2/3층,남동향,"15년이내, 소형평수, 방한개, 화장실한개"
