매물 유형,매물 제목,소재지,가격,면적,층수,방향,위도,경도
아파트,석사주공2단지 208동,강원도 춘천시 후평동 899,"월세1,000/50",53/37m²,2/15층,동향,37.87165299999999,127.756433
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세300/25,49B/39m²,3/5층,남향,37.8749184,127.747821
아파트,주공5단지 504동,강원도 춘천시 후평동 481,"전세9,000",49B/39m²,3/5층,남서향,37.8749184,127.747821
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,37.8744506,127.7498053
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세500/50,49B/39m²,3/5층,남향,37.8749184,127.747821
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세500/50,49B/39m²,3/5층,남향,37.8749184,127.747821
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세500/50,49B/39m²,3/5층,남동향,37.8749184,127.747821
아파트,주공7단지 709동,강원도 춘천시 후평동 477,"전세9,000",49B/39m²,3/5층,남향,37.8744506,127.7498053
단독/다가구,다가구,강원도 춘천시 후평동 583-6,"전세1억 2,000",-/49m²,1/3층,남서향,37.8870674,127.7424256
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세300/25,49B/39m²,3/5층,남향,37.8749184,127.747821
단독/다가구,다가구,강원도 춘천시 후평동 542-33,전세1억,50/50m²,1/3층,동향,37.8862198,127.7436349
단독/다가구,다가구,강원도 춘천시 후평동 542-34,전세1억,-/49m²,2/3층,동향,37.8864439,127.7435111
아파트,주공5단지 502동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,4/5층,남향,37.8749184,127.747821
아파트,주공5단지 502동,강원도 춘천시 후평동 481,전세1억,49A/39m²,4/5층,남향,37.8749184,127.747821
아파트,주공5단지 507동,강원도 춘천시 후평동 481,월세500/55,57/46m²,4/5층,남동향,37.8749184,127.747821
원룸,일반원룸,강원도 춘천시 후평동 711-55,월세200/23,93/30m²,B1/3층,남서향,37.884614,127.7457566
아파트,주공5단지 512동,강원도 춘천시 후평동 481,"전세9,500",49A/39m²,1/5층,남동향,37.8749184,127.747821
아파트,주공5단지 504동,강원도 춘천시 후평동 481,"전세9,000",49B/39m²,3/5층,남향,37.8749184,127.747821
원룸,일반원룸,강원도 춘천시 후평동 832-7,월세300/30,-/30m²,2/3층,동향,37.8742068,127.7523093
단독/다가구,단독,강원도 춘천시 후평동 687-8,월세500/45,52/45m²,3/4층,북향,37.8805079,127.7454255
아파트,주공5단지 508동,강원도 춘천시 후평동 481,"전세1억 1,000",57/47m²,4/5층,남동향,37.8749184,127.747821
단독/다가구,다가구,강원도 춘천시 후평동 583-6,"월세1,000/65",-/49m²,1/3층,남향,37.8870674,127.7424256
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,37.8744506,127.7498053
아파트,주공5단지 509동,강원도 춘천시 후평동 481,전세1억,57/47m²,5/5층,남동향,37.8749184,127.747821
아파트,주공5단지 505동,강원도 춘천시 후평동 481,월세500/40,49A/39m²,4/5층,남향,37.8749184,127.747821
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,"전세8,000",66/49m²,2/15층,남향,37.8855413,127.7444675
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세300/30,49B/39m²,3/5층,남향,37.8749184,127.747821
아파트,주공5단지 503동,강원도 춘천시 후평동 481,월세500/50,49B/39m²,3/5층,남동향,37.8749184,127.747821
아파트,주공7단지 712동,강원도 춘천시 후평동 477,월세500/35,49B/39m²,1/5층,남향,37.8744506,127.7498053
아파트,주공5단지 504동,강원도 춘천시 후평동 481,월세300/35,49B/39m²,3/5층,남향,37.8749184,127.747821
단독/다가구,다가구,강원도 춘천시 후평동 542-34,전세1억,-/49m²,2/3층,동향,37.8864439,127.7435111
아파트,주공7단지 705동,강원도 춘천시 후평동 477,월세300/35,49B/39m²,1/5층,남서향,37.8744506,127.7498053
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,"월세1,000/50",66/49m²,13/15층,남향,37.8855413,127.7444675
원룸,일반원룸,강원도 춘천시 후평동 861-1,월세500/55,39/35m²,2/4층,북동향,37.8816189,127.7413131
단독/다가구,단독,강원도 춘천시 후평동 795-6,"월세1,000/30",48/48m²,2/2층,남향,37.87725520000001,127.7523998
아파트,후평봉의 1동,강원도 춘천시 후평동 542-3,"전세4,600",41A/41m²,2/5층,동향,37.8864336,127.7429133
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,37.8744506,127.7498053
원룸,일반원룸,강원도 춘천시 후평동 751-6,"전세8,000",-/33m²,2/4층,남서향,37.8896642,127.7540412
단독/다가구,단독,강원도 춘천시 후평동 704-13,"전세8,000",42/42m²,2/4층,남동향,37.8833302,127.7472917
원룸,일반원룸,강원도 춘천시 후평동 755-22,월세500/42,30/28m²,2/4층,남향,37.890449,127.752953
아파트,후평주공4단지 402동,강원도 춘천시 후평동 808-1,"전세7,000",47/42m²,1/5층,남향,37.8773963,127.7556707
단독/다가구,단독,강원도 춘천시 후평동 457-4,"월세2,000/40",46/46m²,3/4층,서향,37.8806169,127.7505715
아파트,주공5단지 509동,강원도 춘천시 후평동 481,월세500/40,57/47m²,3/5층,남동향,37.8749184,127.747821
