매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
단독/다가구,다가구,강원도 춘천시 후평동 714-12,월세300/35,56/50m²,3/4층,남서향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8868289,127.7446911
아파트,주공7단지 709동,강원도 춘천시 후평동 477,"전세9,000",49B/39m²,5/5층,남향,,37.8744506,127.7498053
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,37.8744506,127.7498053
원룸,일반원룸,강원도 춘천시 후평동 722-20,월세300/35,-/28m²,4/4층,북동향,"15년이내, 융자금없는, 세대분리",37.8852913,127.7486122
원룸,일반원룸,강원도 춘천시 후평동 722-20,월세300/37,36/30m²,고/4층,서향,"15년이내, 융자금없는, 세대분리",37.8852913,127.7486122
단독/다가구,단독,강원도 춘천시 후평동,"전세5,000",36/30m²,2/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개",37.8826435,127.7485821
아파트,주공5단지 509동,강원도 춘천시 후평동 481,"전세1억 1,000",57/47m²,4/5층,남동향,,37.8749184,127.747821
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,단기임대500/55,66/49m²,7/15층,남향,,37.8855413,127.7444675
아파트,후평주공4단지 413동,강원도 춘천시 후평동 808-1,월세500/45,54B/49m²,5/5층,서향,,37.8773963,127.7556707
아파트,주공7단지 712동,강원도 춘천시 후평동 477,월세400/35,49B/39m²,1/5층,남향,,37.8744506,127.7498053
원룸,일반원룸,강원도 춘천시 후평동 682-20,"전세3,150",33/29m²,1/3층,남향,"25년이상, 1층, 소형평수",37.8797153,127.744906
아파트,후평주공4단지 425동,강원도 춘천시 후평동 808-1,"전세9,000",52B/47m²,3/5층,서향,,37.8773963,127.7556707
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남서향,,37.8744506,127.7498053
아파트,주공5단지 504동,강원도 춘천시 후평동 481,"전세9,000",49B/39m²,1/5층,남향,,37.8749184,127.747821
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,37.8744506,127.7498053
원룸,일반원룸,강원도 춘천시 후평동 711-55,월세300/32,93/39m²,1/3층,남서향,"25년이상, 1층, 화장실한개",37.884614,127.7457566
아파트,주공5단지 511동,강원도 춘천시 후평동 481,전세1억,49B/39m²,5/5층,남동향,,37.8749184,127.747821
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,"전세8,000",66/49m²,9/15층,동향,,37.8855413,127.7444675
빌라,빌라,강원도 춘천시 후평동 711-44,"전세4,200",32/24m²,2/5층,서향,"15년이내, 화장실한개, 소형평수, 방한개",37.8846062,127.7449925
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",366/30m²,2/4층,남동향,"10년이내, 융자금적은, 세대분리",37.8784746,127.7462367
아파트,세경3차 302동,강원도 춘천시 후평동 845-1,"월세1,000/45",66/49m²,3/15층,남향,,37.8855413,127.7444675
아파트,에리트 105동,강원도 춘천시 후평동 529-4,"전세7,000",43/42m²,4/5층,남향,,37.8847489,127.7409359
아파트,주공7단지 711동,강원도 춘천시 후평동 477,"전세8,500",49B/39m²,1/5층,남향,,37.8744506,127.7498053
단독/다가구,단독,강원도 춘천시 후평동 872-10,"전세5,000",36/33m²,2/3층,서향,"25년이상, 소형평수, 방한개",37.8765753,127.7579326
아파트,동산 102동,강원도 춘천시 후평동 575-4,"전세5,900",31/31m²,5/10층,동향,,37.8876908,127.7423647
원룸,일반원룸,강원도 춘천시 후평동 723,"전세7,000",-/27m²,2/4층,서향,"10년이내, 세대분리, 화장실한개",37.8851655,127.7471416
빌라,빌라,강원도 춘천시 후평동 717-4,"전세3,300",31/26m²,2/3층,서향,"25년이상, 융자금없는, 세대분리",37.889019,127.7417837
원룸,일반원룸,강원도 춘천시 후평동 754-17,"전세8,000",212/24m²,3/4층,북서향,"4년이내, 화장실한개, 대형평수",37.88987669999999,127.7534849
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",-/45m²,중/4층,남서향,"10년이내, 화장실한개, 방두개",37.8784746,127.7462367
아파트,주공7단지 712동,강원도 춘천시 후평동 477,월세400/35,49B/39m²,1/5층,남향,,37.8744506,127.7498053
아파트,세경3차 302동,강원도 춘천시 후평동 845-1,월세500/50,66/49m²,1/15층,북동향,,37.8855413,127.7444675
아파트,주공5단지 504동,강원도 춘천시 후평동 481,"전세9,000",49A/39m²,1/5층,남향,,37.8749184,127.747821
원룸,일반원룸,강원도 춘천시 후평동 457-4,"월세1,000/50",-/50m²,3/5층,남향,"25년이상, 화장실한개, 방두개, 중층",37.8806169,127.7505715
아파트,주공7단지 714동,강원도 춘천시 후평동 477,월세300/30,49A/39m²,1/5층,남향,,37.8744506,127.7498053
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남향,,37.8744506,127.7498053
아파트,주공7단지 710동,강원도 춘천시 후평동 477,"전세8,000",49A/39m²,1/5층,남향,,37.8744506,127.7498053
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,37.8744506,127.7498053
아파트,석사주공2단지 208동,강원도 춘천시 후평동 899,"월세1,000/50",53/37m²,2/15층,동향,,37.87165299999999,127.756433
아파트,주공7단지 710동,강원도 춘천시 후평동 477,"전세8,000",49A/39m²,1/5층,남향,,37.8744506,127.7498053
아파트,주공7단지 710동,강원도 춘천시 후평동 477,"전세8,000",49A/39m²,1/5층,남향,,37.8744506,127.7498053
원룸,도시형생활주택,강원도 춘천시 후평동 711-44,"전세4,000",-/26m²,2/5층,남서향,"15년이내, 화장실한개, 방한개",37.8846062,127.7449925
원룸,일반원룸,강원도 춘천시 후평동 680-2,월세300/40,-/40m²,3/4층,서향,"10년이내, 화장실한개, 방한개",37.8783713,127.7427682
원룸,일반원룸,강원도 춘천시 후평동 872-10,"전세5,000",27/27m²,중/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개",37.8765753,127.7579326
아파트,주공7단지 710동,강원도 춘천시 후평동 477,"전세8,000",49A/39m²,1/5층,남동향,,37.8744506,127.7498053
아파트,주공5단지 502동,강원도 춘천시 후평동 481,"전세9,000",49A/39m²,1/5층,남향,,37.8749184,127.747821
아파트,주공7단지 712동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,4/5층,남향,,37.8744506,127.7498053
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,"월세5,000/40",66/49m²,11/15층,남향,,37.8855413,127.7444675
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",-/38m²,2/4층,북서향,"10년이내, 화장실한개, 방한개",37.8833302,127.7472917
아파트,크로바 B동,강원도 춘천시 후평동 511-5,월세300/25,33/33m²,5/5층,남서향,,37.8815302,127.743057
아파트,주공5단지 501동,강원도 춘천시 후평동 481,월세500/45,49A/39m²,4/5층,남동향,,37.8749184,127.747821
아파트,주공5단지 505동,강원도 춘천시 후평동 481,월세500/55,49A/39m²,4/5층,남향,,37.8749184,127.747821
아파트,주공5단지 510동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,3/5층,남동향,,37.8749184,127.747821
아파트,주공7단지 709동,강원도 춘천시 후평동 477,"전세9,000",49B/39m²,3/5층,남향,,37.8744506,127.7498053
원룸,일반원룸,강원도 춘천시 후평동 245-97,월세200/28,21/21m²,저/3층,동향,"25년이상, 소형평수, 방한개",37.8899017,127.7497941
원룸,일반원룸,강원도 춘천시 후평동 736-14,월세100/30,25/25m²,중/2층,남동향,"25년이상, 융자금없는, 소형평수",37.8856617,127.7534337
원룸,일반원룸,강원도 춘천시 후평동 673-7,월세300/30,-/22m²,1/3층,서향,"25년이상, 1층, 화장실한개",37.8807799,127.7412806
단독/다가구,다가구,강원도 춘천시 후평동 542-33,전세1억,50/50m²,1/3층,동향,"10년이내, 융자금적은, 1층",37.8862198,127.7436349
단독/다가구,다가구,강원도 춘천시 후평동 542-34,전세1억,-/49m²,2/3층,동향,"10년이내, 융자금적은, 화장실한개",37.8864439,127.7435111
아파트,주공5단지 502동,강원도 춘천시 후평동 481,전세1억,49A/39m²,4/5층,남향,,37.8749184,127.747821
아파트,주공5단지 502동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,4/5층,남향,,37.8749184,127.747821
원룸,일반원룸,강원도 춘천시 후평동 832-7,월세300/30,-/30m²,2/3층,동향,"25년이내, 세대분리, 방한개, 화장실한개",37.8742068,127.7523093
단독/다가구,단독,강원도 춘천시 후평동 687-8,월세500/45,52/45m²,3/4층,북향,"10년이내, 화장실한개, 소형평수, 방한개",37.8805079,127.7454255
단독/다가구,단독,강원도 춘천시 후평동,월세300/30,-/46m²,1/2층,북향,"25년이상, 1층, 방두개, 화장실한개",37.8826435,127.7485821
아파트,주공5단지 509동,강원도 춘천시 후평동 481,전세1억,57/47m²,5/5층,남동향,,37.8749184,127.747821
아파트,주공5단지 503동,강원도 춘천시 후평동 481,월세500/50,49B/39m²,3/5층,남동향,,37.8749184,127.747821
단독/다가구,다가구,강원도 춘천시 후평동 542-34,전세1억,-/49m²,2/3층,동향,"10년이내, 방두개, 화장실한개",37.8864439,127.7435111
원룸,일반원룸,강원도 춘천시 후평동 861-1,월세500/55,39/35m²,2/4층,북동향,"10년이내, 소형평수, 화장실한개, 방한개",37.8816189,127.7413131
단독/다가구,단독,강원도 춘천시 후평동 795-6,"월세1,000/30",48/48m²,2/2층,남향,"25년이상, 융자금없는, 보일러교체",37.87725520000001,127.7523998
원룸,일반원룸,강원도 춘천시 후평동 751-6,"전세8,000",-/33m²,2/4층,남서향,"10년이내, 방두개, 화장실한개, 중층",37.8896642,127.7540412
단독/다가구,단독,강원도 춘천시 후평동 704-13,"전세8,000",42/42m²,2/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개",37.8833302,127.7472917
원룸,일반원룸,강원도 춘천시 후평동 755-22,월세500/42,30/28m²,2/4층,남향,"10년이내, 소형평수, 방한개",37.890449,127.752953
단독/다가구,단독,강원도 춘천시 후평동 457-4,"월세1,000/40",46/46m²,3/4층,서향,"25년이상, 융자금적은, 소형평수, 방두개",37.8806169,127.7505715
원룸,일반원룸,강원도 춘천시 후평동 245-98,월세200/30,29/29m²,1/3층,동향,"25년이상, 1층, 소형평수, 방한개",37.8899729,127.749863
아파트,주공5단지 502동,강원도 춘천시 후평동 481,월세300/30,49A/39m²,4/5층,남동향,,37.8749184,127.747821
상가주택,상가주택,강원도 춘천시 후평동 723,"전세7,000",30/29m²,2/4층,북서향,"10년이내, 소형평수, 방한개, 화장실한개",37.8851655,127.7471416
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,37.8744506,127.7498053
단독/다가구,다가구,강원도 춘천시 후평동 875-13,"전세7,000",42/42m²,2/3층,남서향,"25년이상, 융자금없는, 소형평수, 방두개",37.8758449,127.7583103
원룸,일반원룸,강원도 춘천시 후평동 67-66,월세300/40,12/12m²,B1/2층,동향,"25년이상, 융자금없는, 화장실한개, 소형평수",37.8763975,127.7473421
원룸,일반원룸,강원도 춘천시 후평동 680-2,월세300/40,29/28m²,2/4층,남향,"10년이내, 소형평수, 화장실한개, 방한개",37.8783713,127.7427682
원룸,일반원룸,강원도 춘천시 후평동 523-45,월세100/24,28/23m²,1/3층,동향,"25년이상, 융자금없는, 1층, 소형평수",37.8818431,127.7423219
원룸,일반원룸,강원도 춘천시 후평동 689-9,"전세6,000",33/33m²,2/2층,남동향,"25년이상, 소형평수, 방한개, 화장실한개",37.879856,127.7463129
원룸,일반원룸,강원도 춘천시 후평동 731-30,월세300/40,33/30m²,2/4층,남서향,"15년이내, 융자금없는, 소형평수, 화장실한개",37.8851503,127.7512064
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",35/33m²,2/4층,동향,"10년이내, 융자금없는, 화장실한개, 소형평수",37.8833302,127.7472917
원룸,일반원룸,강원도 춘천시 후평동 512-1,월세300/43,30/27m²,2/4층,남서향,"10년이내, 소형평수, 화장실한개, 방한개",37.8811732,127.7420952
원룸,일반원룸,강원도 춘천시 후평동 678-3,월세300/38,26/26m²,4/4층,남서향,"10년이내, 소형평수, 화장실한개, 방한개",37.8791237,127.74237
단독/다가구,다가구,강원도 춘천시 후평동 722-35,월세500/55,50/45m²,3/4층,남동향,"10년이내, 소형평수, 방두개, 화장실한개",37.8853332,127.7492242
아파트,주공7단지 710동,강원도 춘천시 후평동 477,"전세8,000",49A/39m²,1/5층,남동향,,37.8744506,127.7498053
아파트,신아 101동,강원도 춘천시 효자동 820,월세300/30,35/26m²,7/8층,남향,,37.8699861,127.737414
아파트,후평봉의 1동,강원도 춘천시 후평동 542-3,월세300/30,41A/41m²,중/5층,남동향,,37.8864336,127.7429133
상가주택,상가주택,강원도 춘천시 후평동 67-52,월세500/50,50/50m²,3/3층,남향,"25년이상, 소형평수, 방두개, 화장실한개",37.876389,127.7466246
아파트,주공5단지 509동,강원도 춘천시 후평동 481,"전세1억 1,000",57/47m²,4/5층,남동향,,37.8749184,127.747821
상가주택,상가주택,강원도 춘천시 후평동 883-11,"전세8,000",54/50m²,2/3층,남서향,"25년이상, 소형평수, 방두개, 화장실한개",37.8743215,127.7582786
