법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,1**,둥지길,다가구,33,-,29,-,-,"8,000",0,-,-,
효자동,6**,춘천로204번길,단독,123.76,신규,26,24.11-26.11,-,"1,000",50,-,-,
효자동,7**,남춘로55번길,다가구,56.1,신규,26,24.09-26.09,-,500,40,-,-,
효자동,2**,공지로242번길,다가구,30,신규,25,24.10-26.10,-,"7,160",0,-,-,
효자동,2**,공지로242번길,다가구,30,신규,25,24.10-26.10,-,"7,160",0,-,-,
효자동,6**,춘천로204번길,단독,29.61,신규,24,24.10-26.10,-,"4,500",0,-,-,
효자동,6**,춘천로204번길,단독,50,신규,23,24.10-26.10,-,"9,000",0,-,-,
효자동,6**,서부대성로227번길,단독,50.98,신규,20,24.11-26.10,-,"5,000",0,-,-,
효자동,6**,두하길,다가구,26,신규,20,24.10-26.10,-,"7,500",0,-,-,
효자동,6**,도화길6번길,다가구,22.23,신규,19,24.09-25.09,-,200,30,-,-,
효자동,7**,효평길,다가구,16.5,신규,19,24.09-25.01,-,100,50,-,-,
효자동,1*,백령로165번길,다가구,52,신규,19,24.10-26.10,-,"10,000",0,-,-,
효자동,1**,백령로61번길,단독,23,신규,14,24.09-24.12,-,150,37,-,-,
효자동,1**,백령로61번길,단독,23,신규,14,24.09-25.01,-,150,38,-,-,
효자동,6**,효자로150번길,단독,20,신규,13,24.09-25.09,-,300,30,-,-,
효자동,7**,백령로,다가구,20,신규,13,24.09-25.08,-,"4,000",0,-,-,
효자동,7**,춘천로310번길,다가구,28,신규,12,24.09-25.09,-,500,39,-,-,
효자동,1**,백령로67번길,다가구,21,신규,12,24.10-25.08,-,300,38,-,-,
효자동,6**,전원길,단독,33.92,-,12,-,-,"6,000",0,-,-,
효자동,6**,공지로333번길,다가구,30,신규,11,24.10-26.10,-,"8,000",0,-,-,
효자동,6**,공지로333번길,단독,30,-,11,-,-,"8,000",0,-,-,
효자동,6**,서부대성로173번길,단독,96.06,신규,10,24.10-26.10,-,"2,000",50,-,-,
효자동,6**,전원길,단독,76.74,신규,10,24.10-26.10,-,"11,000",0,-,-,
효자동,6**,전원길,단독,33.92,-,09,-,-,"6,000",0,-,-,
